framenumber,Timestamp,Pose-X,Pose-Y,Headrate,VelocityYaw,Standstill,Direction,CarSpeed,FrontWheelAngle
0,2720828540,14.913999999999999702,8.6170000000000008811,-0.61238056421279907227,0.19451217924958386085,0,1,0.96875,0.56061518192291259766
1,2720848473,14.937000000000001165,8.6010000000000008669,-0.60849010944366455078,0.1951765799997251527,0,1,0.96875,0.56061518192291259766
2,2720868484,14.948999999999999844,8.5929999999999999716,-0.60463291406631469727,0.19275375430262625676,0,1,0.96875,0.56061518192291259766
3,2720868484,14.948999999999999844,8.5929999999999999716,-0.60463291406631469727,0.19219323992729187012,0,1,0.96875,0.55977606773376464844
4,2720888493,14.961000000000000298,8.5850000000000008527,-0.6007666587829590954,0.19322581255213719387,0,1,0.96875,0.55977606773376464844
5,2720908459,14.971999999999999531,8.5769999999999999574,-0.59697186946868907587,0.19006257208604726561,0,1,0.96875,0.55977606773376464844
6,2720928470,14.996000000000000441,8.5609999999999999432,-0.59317630529403686523,0.1896738880941532257,0,1,0.96875,0.55977606773376464844
7,2720948485,14.996000000000000441,8.5609999999999999432,-0.58939665555953979492,0.18884085608279144175,0,1,0.96875,0.55977606773376464844
8,2720968473,15.019999999999999574,8.5449999999999999289,-0.58567696809768676758,0.18609603071107802541,0,1,0.96875,0.55977606773376464844
9,2720968473,15.019999999999999574,8.5449999999999999289,-0.58567696809768676758,0.18675377964973449707,0,1,0.96875,0.55830752849578857422
10,2720988458,15.032000000000000028,8.53700000000000081,-0.58195871114730834961,0.18605238680902766446,0,1,0.96875,0.55830752849578857422
11,2721008458,15.056000000000000938,8.5210000000000007958,-0.57830590009689331055,0.18264055252075195312,0,1,0.96875,0.55830752849578857422
12,2721028474,15.056000000000000938,8.5210000000000007958,-0.57463020086288441046,0.18363805125943191698,0,1,0.96875,0.55830752849578857422
13,2721048455,15.080000000000000071,8.5060000000000002274,-0.57100677490234386102,0.18134357442274018357,0,1,0.96875,0.55830752849578857422
14,2721068468,15.092000000000000526,8.4979999999999993321,-0.56739342212677001953,0.1805502810959741522,0,1,0.96875,0.55830752849578857422
15,2721068468,15.092000000000000526,8.4979999999999993321,-0.56739342212677001953,0.18078361451625823975,0,1,0.9375,0.55589497089385986328
16,2721088477,15.104000000000000981,8.4900000000000002132,-0.56379801034927368164,0.17968972849699324512,0,1,0.9375,0.55589497089385986328
17,2721108450,15.115999999999999659,8.48300000000000054,-0.56021833419799804688,0.17922576234294473885,0,1,0.9375,0.55589497089385986328
